"CORP","Quarterly Data","Current Ratio","Long-term Debt / Capital","Debt/Equity Ratio","Gross Margin","Operating Margin","EBIT Margin","EBITDA Margin","Pre-Tax Profit Margin","Net Profit Margin","Asset Turnover","Inventory Turnover Ratio","Receiveable Turnover","Days Sales In Receivables","ROE - Return On Equity","Return On Tangible Equity","ROA - Return On Assets","ROI - Return On Investment","Book Value Per Share","Operating Cash Flow Per Share","Free Cash Flow Per Share","Basic EPS","SH LOG10","Bin"
"STM","3/31/2011","2.1188","0.1142","0.2184","39.0927","4.6548","4.6548","0","4.497","6.7061","0.1853","0.924","1.3245","67.9527","1.0365","1.3325","0.6066","0.9181","9.0824","0.3857","0.3857","0.19","0.075421097174318","1"
"STM","6/30/2011","1.944","0.1142","0.2307","38.06","3.2333","3.2333","0","15.3487","16.3615","0.1812","0.906","1.2516","71.9088","3.8367","4.9271","2.1948","3.3985","9.1661","0.1292","-0.7506","0.48","-0.095862257416863","1"
"STM","9/30/2011","1.9683","0.0931","0.2019","35.7494","-0.9419","-0.9419","0","-1.3104","2.9075","0.185","0.9224","1.3359","67.371","-0.3427","-0.4318","-0.2197","-0.3108","9.5629","0.3056","-0.1199","0.08","-0.18534598178084","1"
"STM","12/31/2011","2.1721","0.0936","0.1958","33.455","-6.0246","-6.0246","0","-6.3898","-0.5021","0.1812","0.9523","2.0946","42.9667","-2.6263","-3.3376","-1.7364","-2.3804","9.0351","0.1525","1.4865","-0.01","-0.039858663278593","1"
"STM","3/31/2012","1.8544","0.0446","0.1838","29.5488","-17.4517","-17.4517","0","-18.2945","-8.7258","0.1697","0.9423","2.0772","43.3267","-4.2708","-5.4277","-2.8187","-4.0804","8.8409","0.2825","0.1412","-0.2","0.14022920839616","1"
"STM","6/30/2012","1.5622","0.0491","0.219","34.2644","-9.6369","-9.6369","0","-10.0093","-3.4916","0.186","0.9483","2.0037","44.9162","-3.3524","-4.3688","-2.0352","-3.1877","7.8948","-0.0421","-0.1209","-0.08","-0.17768500206224","1"
"STM","9/30/2012","1.57","0.045","0.2462","34.7645","-36.5651","-36.5651","0","-37.1191","-22.0683","0.2022","0.9522","2.0827","43.2133","-13.0984","-15.3377","-7.739","-12.5094","7.1278","0.1651","-0.0631","-0.54","-0.0032051398752114","1"
"STM","12/31/2012","2.1534","0.0954","0.2044","32.2849","-33.765","-33.765","0","-34.6439","-19.8427","0.2072","1.082","2.1512","41.8363","-12.3979","-13.1281","-7.5618","-11.2154","7.167","0.2847","0.751","-0.49","0.12734480637418","1"
"STM","3/31/2013","2.2376","0.0981","0.1508","31.2593","-13.9871","-13.9871","0","-14.9826","-8.5117","0.2086","1.0574","1.96","45.9184","-4.9933","-5.3036","-3.0835","-4.5034","6.6984","0.0743","-0.0507","-0.19","0.02731581185381","1"
"STM","6/30/2013","2.0588","0.1029","0.1698","32.8606","-5.2323","-5.2323","0","-9.2421","-7.4328","0.2121","1.0277","1.8292","49.2029","-3.0474","-3.2691","-1.794","-2.7339","6.3754","0.0168","-0.1192","-0.17","0.066705313682272","1"
"STM","9/30/2013","2.3066","0.0963","0.1355","32.3895","-3.2787","-3.2787","0","-3.7755","-7.0541","0.2159","1.0342","1.7045","52.8018","-2.1529","-2.2773","-1.3406","-1.9455","6.5193","0.0167","-0.1692","-0.16","0.010028135612326","1"
"STM","12/31/2013","2.4119","0.1397","0.2017","32.8536","-0.5459","-0.5459","0","-1.2903","-1.737","0.2197","1.0127","1.9209","46.8536","-0.5947","-0.6285","-0.3707","-0.5117","6.5416","0.3036","0.1536","-0.04","-0.060697840353612","1"
"STM","3/31/2014","2.4607","0.1379","0.1996","32.8219","-0.2192","-0.2192","0","-0.7123","-1.3151","0.2024","0.9211","1.6412","54.8384","-0.3877","-0.4107","-0.244","-0.3342","6.3715","0.0595","-0.0662","-0.03","0.062581984228163","1"
"STM","6/30/2014","2.4346","0.1414","0.2056","34.0129","5.2575","5.2575","0","2.3069","2.0386","0.21","0.9297","1.6976","53.015","0.6551","0.6948","0.4055","0.5625","6.1528","0.0785","-0.0774","0.04","-0.016770210249893","1"
"STM","9/30/2014","3.0747","0.244","0.3641","34.2524","1.9618","1.9618","0","1.5907","3.8176","0.2004","0.9818","1.8031","49.9152","1.3333","1.4073","0.7651","1.008","6.1187","0.3153","0.1616","0.08","-0.062975421168783","1"
"STM","12/31/2014","2.8601","0.2403","0.3563","33.8436","2.023","2.023","0","2.515","2.2963","0.2031","0.9535","2.0077","44.8278","0.8506","0.8996","0.4776","0.6462","5.7539","0.3502","0.2281","0.05","-0.012605737986032","1"
"STM","3/31/2015","2.7442","0.2486","0.3728","33.1965","-1.1144","-1.1144","0","-1.173","-1.2903","0.1957","0.9547","1.7559","51.2551","-0.4411","-0.4666","-0.241","-0.3314","5.4473","0.1705","0.0687","-0.03","0.093759132329098","1"
"STM","6/30/2015","2.4354","0.2553","0.3864","33.8068","0.6818","0.6818","0","0.2841","1.9886","0.1991","0.938","1.7904","50.267","0.7806","0.8266","0.4072","0.5813","5.2501","0.2521","0.0699","0.04","-0.057523704903322","1"
"STM","9/30/2015","2.707","0.2475","0.3693","34.7506","5.1587","5.1587","0","4.8186","5.102","0.2031","0.9186","1.7836","50.4592","1.9649","2.0694","1.0707","1.4785","5.3876","-0.4226","-0.1386","0.1","-0.075771654584696","1"
"STM","12/31/2015","3","0.2324","0.3435","33.4532","1.4988","1.4988","0","1.1391","0.06","0.2035","0.8873","2.0341","44.2446","0.0426","0.0449","0.0244","0.0327","5.3418","0.9562","0.4259","0.01","-0.010310145486178","1"
"STM","3/31/2016","3.0056","0.2287","0.3324","33.354","-2.0459","-2.0459","0","-2.3559","-2.5418","0.1925","0.8257","1.8103","49.7148","-0.8304","-0.8741","-0.4773","-0.6405","5.4826","0.1605","0.0467","-0.05","-0.076840030232722","1"
"STM","6/30/2016","2.8949","0.2388","0.3512","33.8814","1.6442","1.6442","0","1.8203","1.3506","0.2098","0.8894","1.9221","46.8233","0.5484","0.5775","0.308","0.4174","5.1615","0.2156","0.0628","0.03","0.023481095849523","1"
"STM","9/30/2016","2.8192","0.2361","0.3343","35.7819","5.0083","5.0083","0","4.6745","3.951","0.2171","0.9321","1.781","50.5342","1.5501","1.664","0.8698","1.184","5.2585","-0.3761","-0.1095","0.08","0.14104231395288","1"
"STM","12/31/2016","2.7626","0.225","0.3157","37.4731","6.9355","6.9355","0","6.6667","6.0215","0.2324","0.9915","1.9808","45.4355","2.4587","2.6371","1.4118","1.9056","5.2026","1.1769","0.492","0.13","0.14383825278916","1"
"STM","3/31/2017","2.6256","0.2194","0.3055","37.6716","7.2488","7.2488","0","6.8644","5.9308","0.2187","0.945","1.9249","46.7545","2.2842","2.4401","1.3092","1.7831","5.2377","0.2967","0.0719","0.12","0.13421362805316","1"
"STM","6/30/2017","2.4121","0.2157","0.299","38.2735","9.2564","9.2564","0","8.9444","7.8523","0.2199","0.9406","1.9002","47.3635","3.1224","3.3297","1.7494","2.4488","5.5192","0.4244","0.0719","0.17","-0.031450603535442","1"
"STM","9/30/2017","2.2904","0.247","0.4224","39.6067","13.1554","13.1554","0","12.4532","11.0487","0.2188","0.9765","2.0208","44.5365","4.5834","4.8821","2.4178","3.4513","5.8325","-0.7211","-0.1438","0.27","0.13049033952512","1"
"STM","12/31/2017","2.5243","0.2245","0.3111","40.6972","16.7815","16.7815","0","15.8087","12.4443","0.2548","1.0959","2.1471","41.9173","5.707","6.0759","3.2228","4.4255","6.0859","1.8508","0.4183","0.35","0.051003408460714","1"
"STM","3/31/2018","2.4748","0.2164","0.2968","39.8922","12.0845","12.0845","0","11.8149","10.7368","0.2211","0.9324","2.1363","42.1294","4.1775","4.431","2.3937","3.2736","6.6336","0.4974","0.1137","0.27","0.0088574539313637","1"
"STM","6/30/2018","0","0","0","40.1499","12.7369","12.7369","0","12.5165","11.5029","0","0","0","0","0","0","0","0","0","0.3939","-0.0318","0.29","-0.0033249456978371","1"
"STM","9/30/2018","2.5394","0.2098","0.2849","39.77","15.7811","15.7811","0","15.6622","14.6312","0.2422","0.9578","1.9267","46.7129","6.1302","6.4713","3.5629","4.844","0","0.4182","0.145","0.41","-0.081385810932224","1"
"STM","12/31/2018","2.7613","0.2154","0.2973","40.0076","16.7737","16.7737","0","16.887","15.7915","0.2436","1.0166","2.0728","43.419","6.5068","6.8626","3.8465","5.105","7.2064","0.7158","1.7995","0.46","-0.12100986521517","1"
"STM","3/31/2019","2.9105","0.2335","0.3309","39.4027","10.1638","10.1638","0","10.1638","8.5742","0.1823","0.7127","1.8838","47.7746","2.7068","2.9063","1.5717","2.0746","7.3937","0.3776","0.021","0.2","0.029336987534395","1"
"STM","6/30/2019","2.768","0.2358","0.335","38.196","9.0198","9.0198","0","8.8817","7.3631","0.1887","0.7106","1.8701","48.127","2.4316","2.614","1.3893","1.8583","7.3436","0.3599","-0.0532","0.18","0.074279475070611","1"
"STM","9/30/2019","2.8734","0.2302","0.3243","37.877","13.161","13.161","0","12.926","11.8292","0.2197","0.8885","1.8393","48.9307","4.4727","4.7937","2.5985","3.4432","7.5517","0.4768","1.2465","0.34","0.040450541023141","1"
"STM","12/31/2019","3.0315","0.2108","0.2914","39.252","16.703","16.703","0","16.5214","14.2338","0.2321","0.9894","1.9957","45.098","5.5126","5.8947","3.303","4.3507","7.977","0.854","-0.4452","0.43","0.14345722801677","1"
"STM","3/31/2020","3.0525","0.206","0.2832","37.9202","10.3541","10.3541","0","10.2645","8.606","0.187","0.7816","1.7241","52.2008","2.6352","2.8202","1.5926","2.0923","8.1078","0.4353","0.1451","0.22","-0.10010915527706","1"
"STM","6/30/2020","2.085","0.1401","0.2852","34.9784","5.0791","5.0791","0","4.7437","4.3124","0.1716","0.6913","1.7822","50.4983","1.2655","1.3619","0.7482","1.0881","8.0563","0.4274","0.0832","0.1","0.10810449305281","1"
"STM","9/30/2020","2.3656","0.1955","0.37","35.9715","12.3406","12.3406","0","10.9903","9.0773","0.1937","0.884","1.8604","48.3758","3.1379","3.4709","1.7652","2.5244","8.5741","0.408","1.0424","0.27","0.049087867043333","1"
"STM","12/31/2020","2.4926","0.1767","0.3081","38.7635","20.3091","20.3091","0","19.9691","17.9907","0.2238","1.076","2.2082","40.7573","6.8657","7.554","4.0404","5.6523","9.3946","1.005","-0.3857","0.65","0.082611053264249","1"
"XLNX","3/31/2005","4.8679","0","0","61.1228","21.2619","21.2619","0","23.7244","17.189","0.1286","0.8184","1.8316","49.1367","2.5137","2.652","2.2113","2.5137","7.6351","0.769","0.5977","0.20","0","1"
"XLNX","6/30/2005","4.7393","0","0","60.9052","22.3125","22.3125","0","24.6172","18.9554","0.131","0.8708","2.0831","43.2042","2.8347","2.9863","2.4824","2.8347","7.7561","0.4288","0.3869","0.22","-0.059288634923481","1"
"XLNX","9/30/2005","4.4536","0","0","61.4047","20.6413","20.6413","0","24.6295","21.457","0.1259","0.7711","2.0831","43.2059","3.0927","3.2516","2.7007","3.0927","7.9414","0.1759","0.1315","0.25","0.038285019075793","1"
"XLNX","12/31/2005","3.9223","0","0","62.9728","26.6538","26.6538","0","29.0878","18.0089","0.1445","0.7857","3.1602","28.4792","3.0075","3.1648","2.6017","3.0075","7.8088","0.5437","0.5038","0.23","-0.043252371060374","1"
